"";"DATE";"HAuthority";"HMotifs";"CEAuthoritiesMotifs";"NormCEAuthoritiesMotifs";"CEMotifsAuthorities";"NormCEMotifsAuthorities";"MI"
"king";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"kithara";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Kore";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"krater";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"labyrinth";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"ladle";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"lagobolon";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"laurel";330;2,66967018433722;0,0442600020458075;2,64695830109772;0,991492625803461;0,021548118806308;0,486853091059655;0,0227118832394995
"leaf";330;2,66967018433722;0,0442600020458075;2,64695830109772;0,991492625803461;0,021548118806308;0,486853091059655;0,0227118832394995
"Leucaspis";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"libation.vessel";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"linear.circle.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"linear.square.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"lion";330;2,66967018433722;0,147828733540731;2,57336058654986;0,963924533317861;0,0515191357533729;0,348505561262743;0,0963095977873585
"lion.mask";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"lizard";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"locust";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"lotus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Lucilla";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"lyre";330;2,66967018433722;0,0617957549141934;2,64378001067207;0,990302107797045;0,0359055812490481;0,58103637214085;0,0258901736651453
"Macedonian.man";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"Maenad";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"male.pubes";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"man";330;2,66967018433722;0,107827959611002;2,59127954861201;0,970636584179903;0,0294373238857935;0,273002697927245;0,0783906357252082
"man.headed.bull";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"man.headed.goat";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"marsh.bird";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Medea";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Medusa";330;2,66967018433722;0,147828733540731;2,54144871562219;0,951971045162321;0,0196072648257002;0,132635005090522;0,128221468715031
"Melquarth";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Minotaur";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"monster";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"mule";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"murex.shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"mussel.shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nail.studded.square";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"naval.standard";330;2,66967018433722;0,0247429107127184;2,66647539243081;0,998803300900181;0,021548118806308;0,870880514281282;0,00319479190641037
"Nike";330;2,66967018433722;0,266856446712373;2,60386591737066;0,975351162344836;0,201052179745812;0,753409491218001;0,0658042669665604
"nymph";330;2,66967018433722;0,0617957549141934;2,62052502466756;0,981591299195687;0,0126505952445348;0,204716250527254;0,0491451596696586
"nymph.Cyane";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Cyme";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Euboea";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Hesperia";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Histiaea";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"nymph.Kamarina";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Larissa";330;2,66967018433722;0,0247429107127184;2,65013890656104;0,992684010972304;0,00521163293654103;0,210631360111652;0,0195312777761774
"nymph.Peirene";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Segesta";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"nymph.Sinope";330;2,66967018433722;0,0442600020458075;2,63806077753595;0,988159808283913;0,0126505952445348;0,285824551735039;0,0316094068012727
"nymph.Terina";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"obelisk";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"octopus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"oenochoe";330;2,66967018433722;0,0247429107127184;2,65338344121275;0,993899342615421;0,00845616758825241;0,341761229567294;0,016286743124466
"oikist";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"olive";330;2,66967018433722;0,0442600020458075;2,63062181522795;0,985373335875585;0,00521163293654103;0,11775039981126;0,0390483691092665
"omphalos";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"owl";330;2,66967018433722;0,0780397770903951;2,60008657483508;0,973935503377764;0,00845616758825241;0,108357146874695;0,0695836095021427
"ox";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Palladium";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Pallas";330;2,66967018433722;0,0247429107127184;2,65013890656104;0,992684010972304;0,00521163293654103;0,210631360111652;0,0195312777761774
"palm";330;2,66967018433722;0,160220832403096;2,62552487566547;0,983464133910344;0,11607552373135;0,724472105096281;0,0441453086717467
"palmette";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Pan";330;2,66967018433722;0,0247429107127184;2,65338344121275;0,993899342615421;0,00845616758825241;0,341761229567294;0,016286743124466
"panther";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"parsley";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pattern";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"patterned.incuse";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Pegasus";330;2,66967018433722;0,183865543292359;2,56866088669317;0,962164128649049;0,0828562456483071;0,450634981218638;0,101009297644052
"pellet";330;2,66967018433722;0,0617957549141934;2,63787871581759;0,988091611950363;0,0300042863945609;0,485539604398771;0,0317914685196325
"Pelorias";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pendent";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pentagram";330;2,66967018433722;0,0247429107127184;2,66647539243081;0,998803300900181;0,021548118806308;0,870880514281282;0,00319479190641037
"Persephone";330;2,66967018433722;0,0247429107127184;2,65338344121275;0,993899342615421;0,00845616758825241;0,341761229567294;0,016286743124466
"Persephone.Tanit";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Persian.attendant";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"Persian.god.Ana";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"petals";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"phallus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Philoctetes";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pipes";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pistrix";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"plane.leaf";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"plant";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"plate";330;2,66967018433722;0,0247429107127184;2,65898992978729;0,995999410484267;0,0140626561627943;0,568350923869512;0,0106802545499241
"plough";330;2,66967018433722;0,0442600020458075;2,65541446868597;0,99466012103859;0,0300042863945609;0,677909738086038;0,0142557156512466
"pomegranate";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"poppy";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"Poseidon";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"prawn";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Prokles.I...Eurysthenes";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"pyramid";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"quiver";330;2,66967018433722;0,0780397770903951;2,64378429410885;0,990303712278678;0,0521538868620262;0,668298767711948;0,025885890228369
"race.torch";330;2,66967018433722;0,0442600020458075;2,66326151751999;0,997599453724723;0,037851335228579;0,855204100293629;0,00640866681722851
"ram";330;2,66967018433722;0,0617957549141934;2,6457257646516;0,991030944636497;0,037851335228579;0,612523227220664;0,0239444196856144
"raven";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"rhyton";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"rider";330;2,66967018433722;0,396410132703673;2,45478425247049;0,919508434739447;0,181524200836941;0,457920183822938;0,214885931866732
"ring.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Acheloos";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Amenanos";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Gelas";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Hippoaris";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Hypsas";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"river.god.Selinus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"rock";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"rose";330;2,66967018433722;0,0933195573779644;2,59789874576556;0,973115990509714;0,021548118806308;0,230906783226944;0,0717714385716564
"rosette";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"rudder";330;2,66967018433722;0,0247429107127184;2,66647539243081;0,998803300900181;0,021548118806308;0,870880514281282;0,00319479190641037
"sandal";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Sarapis";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"satrap";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"satrap.Datames";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"satyr";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Satyra";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"scallop.shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"sceptre";330;2,66967018433722;0,583930731986805;2,37873627485417;0,891022527355648;0,292996822503753;0,501766402166984;0,290933909483051
"scorpion";330;2,66967018433722;0,0617957549141934;2,66002831628505;0,99638836733139;0,0521538868620262;0,843971999928547;0,00964186805216727
"scroll";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"scrotum";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Scylla";330;2,66967018433722;0,0247429107127184;2,65509030841096;0,994538697696892;0,0101630347864581;0,410745320324583;0,0145798759262603
"sea.eagle";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"sea.horse";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"sea.turtle";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"seal";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"serpent";330;2,66967018433722;0,227381086896745;2,5906489968673;0,970400393301939;0,148359899426823;0,652472470123227;0,0790211874699218
"shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"shield";330;2,66967018433722;0,19518096180778;2,50831389288245;0,939559466033881;0,033824670353011;0,173299024862489;0,161356291454769
"ship";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"ship.back";330;2,66967018433722;0,0617957549141934;2,62052502466756;0,981591299195687;0,0126505952445348;0,204716250527254;0,0491451596696586
"ship.front";330;2,66967018433722;0,0442600020458075;2,66326151751999;0,997599453724723;0,037851335228579;0,855204100293629;0,00640866681722851
"shrine";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"sickle";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"sickle.shaped.harbour";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Sikelia";330;2,66967018433722;0,0247429107127184;2,65338344121275;0,993899342615421;0,00845616758825241;0,341761229567294;0,016286743124466
"Silenus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"Silenus.mask";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"silphium";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"siren";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"slinger";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"solar.disc";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"spear";330;2,66967018433722;0,247567659567237;2,55286033651144;0,956245588495878;0,130757811741463;0,528170003990161;0,116809847825775
"spearhead";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"spheric.ornament";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"sphinx";330;2,66967018433722;0,0247429107127184;2,65338344121275;0,993899342615421;0,00845616758825241;0,341761229567294;0,016286743124466
"spiral";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"square";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
